variable,count,mean,std,min,25%,median,75%,max
residential_price,137.0,12.785547445255474,1.762178180760136,10.63,11.36,11.93,14.64,16.99
commercial_price,137.0,8.400510948905108,0.7035282104464226,7.35,8.08,8.3,8.57,13.68
industrial_price,137.0,5.913284671532847,0.9417077021599792,4.54,5.26,5.62,6.33,11.25
total_generation,137.0,41884.45527043796,6864.228079753761,30118.84181,36010.97889,40852.79884,46858.08700000001,60044.48072999998
renewable_share,137.0,0.22646518558284492,0.08578725940588246,0.0737905593311263,0.1608377270500453,0.2210084015715707,0.2866133507641311,0.4545425290195906
fossil_share,137.0,0.690506057253973,0.08292652800343248,0.4761624028740224,0.6399931028069995,0.6945265286011224,0.7504308485325648,0.8454554373998733
natural_gas_share,137.0,0.49528926039788296,0.05310550718853205,0.3680998790841689,0.4560608330851238,0.5011185657837234,0.53359018819197,0.6061735022309348
coal_share,137.0,0.18970596083969254,0.06723019592086113,0.078989281121044,0.1361123268380999,0.1803128975571289,0.2388386634334264,0.3484479455710528
wind_share,137.0,0.18800234849190706,0.06289164070200029,0.0688998519572163,0.1425490378420951,0.1830080373324217,0.2268034115724286,0.3291170568076414
solar_share,137.0,0.033534702820526605,0.0355912854213181,0.0005145265673712,0.0054919691005219,0.0189343516564843,0.054130054639687,0.1483573240468262
residential_sales_per_customer_kwh,137.0,1130.452512591636,276.51245971259635,761.6609296893392,884.3831592515886,1049.4391252546193,1323.722467575509,1822.260668122708
commercial_sales_per_customer_kwh,137.0,8218.471546726025,1093.5588868673938,6295.51021386497,7403.4657651968,8164.367702934123,9083.729452958913,10858.407321749604
industrial_sales_per_customer_kwh,137.0,55438.66104695123,23126.27191557645,29895.92652488765,37496.71905238868,40805.59765137305,83659.03934329242,96030.65486622836
