model,model_label,omitted_period,rmse_improvement_vs_naive_pct,mae_improvement_vs_naive_pct
seasonal_naive,Seasonal naive,2023-10-01,-13.817429640511417,-19.857563156464806
seasonal_naive,Seasonal naive,2023-11-01,-8.992381718313428,-15.546418570904212
seasonal_naive,Seasonal naive,2023-12-01,-17.571228520163228,-23.40939526555797
seasonal_naive,Seasonal naive,2024-01-01,-17.909780346501528,-24.753281499671186
seasonal_naive,Seasonal naive,2024-02-01,-8.472365143924314,-14.32664241321671
seasonal_naive,Seasonal naive,2024-03-01,-25.75964241835152,-34.95834413347218
seasonal_naive,Seasonal naive,2024-04-01,-17.422227525528626,-21.97889697409637
seasonal_naive,Seasonal naive,2024-05-01,-19.898008236371055,-27.05410321383505
seasonal_naive,Seasonal naive,2024-06-01,-20.063834432881247,-27.54387123250657
seasonal_naive,Seasonal naive,2024-07-01,-17.032608114228797,-22.10221288192283
seasonal_naive,Seasonal naive,2024-08-01,-17.274368969479927,-22.780886352594877
seasonal_naive,Seasonal naive,2024-09-01,-19.53766041953869,-28.293063219234416
seasonal_naive,Seasonal naive,2024-10-01,-25.67204578282506,-31.48245622320913
seasonal_naive,Seasonal naive,2024-11-01,-14.18434342409873,-17.58880463685764
seasonal_naive,Seasonal naive,2024-12-01,-21.14450758359669,-28.502106377234437
seasonal_naive,Seasonal naive,2025-01-01,-38.25368849570779,-42.04297660586279
seasonal_naive,Seasonal naive,2025-02-01,-19.78844184797158,-29.22442485177345
seasonal_naive,Seasonal naive,2025-03-01,-23.228970297318423,-32.73306803347152
seasonal_naive,Seasonal naive,2025-04-01,-20.176671387958084,-29.520876541615984
seasonal_naive,Seasonal naive,2025-05-01,-16.59070366695052,-19.514346594258658
seasonal_naive,Seasonal naive,2025-06-01,-19.583076023615906,-26.61008416608667
seasonal_naive,Seasonal naive,2025-07-01,-17.78042427260327,-22.34682172285747
seasonal_naive,Seasonal naive,2025-08-01,-18.59890659890062,-23.926609109980898
seasonal_naive,Seasonal naive,2025-09-01,-19.899291830882223,-27.03179948334895
ar3_price_history,AR(3): price history,2023-10-01,21.913157994791458,19.79867895989011
ar3_price_history,AR(3): price history,2023-11-01,21.160624794467385,18.98612338073168
ar3_price_history,AR(3): price history,2023-12-01,21.699476398783425,19.591558530848296
ar3_price_history,AR(3): price history,2024-01-01,18.839900419999605,14.760445427059945
ar3_price_history,AR(3): price history,2024-02-01,25.112761994798415,23.942161372998175
ar3_price_history,AR(3): price history,2024-03-01,18.949965338133993,16.440113719553807
ar3_price_history,AR(3): price history,2024-04-01,20.916841737621827,18.478616263808362
ar3_price_history,AR(3): price history,2024-05-01,20.296764766347717,17.413427867612803
ar3_price_history,AR(3): price history,2024-06-01,21.16133733745012,18.569907164827956
ar3_price_history,AR(3): price history,2024-07-01,21.802595034754408,20.090720013022523
ar3_price_history,AR(3): price history,2024-08-01,20.90173867757159,18.318263387191752
ar3_price_history,AR(3): price history,2024-09-01,20.586523286192392,17.31524580126056
ar3_price_history,AR(3): price history,2024-10-01,21.073001252704138,18.167448319011008
ar3_price_history,AR(3): price history,2024-11-01,21.14726863286733,19.580540520885933
ar3_price_history,AR(3): price history,2024-12-01,18.787220452229356,15.282050585779176
ar3_price_history,AR(3): price history,2025-01-01,18.134541138272567,16.704741020291017
ar3_price_history,AR(3): price history,2025-02-01,26.096021808058392,23.537700753601865
ar3_price_history,AR(3): price history,2025-03-01,18.456946677702387,14.906239547112866
ar3_price_history,AR(3): price history,2025-04-01,20.578757356184816,17.644910205972113
ar3_price_history,AR(3): price history,2025-05-01,21.51895982634024,20.82070478434044
ar3_price_history,AR(3): price history,2025-06-01,19.298608412278252,15.244532517735145
ar3_price_history,AR(3): price history,2025-07-01,21.76920526023677,20.58641198737388
ar3_price_history,AR(3): price history,2025-08-01,20.841069026816278,17.901504119741972
ar3_price_history,AR(3): price history,2025-09-01,19.06107413184621,14.666710692358045
ar3_lagged_controls,AR(3): lagged controls,2023-10-01,11.33839989916115,11.24787858385461
ar3_lagged_controls,AR(3): lagged controls,2023-11-01,5.74806413568657,4.253049707131747
ar3_lagged_controls,AR(3): lagged controls,2023-12-01,7.035373565251328,7.385060087368723
ar3_lagged_controls,AR(3): lagged controls,2024-01-01,3.392713888568572,0.253408648899765
ar3_lagged_controls,AR(3): lagged controls,2024-02-01,8.122808143976213,9.780133683689874
ar3_lagged_controls,AR(3): lagged controls,2024-03-01,3.2119158980871214,3.2251898429809702
ar3_lagged_controls,AR(3): lagged controls,2024-04-01,7.445067624105112,8.83751723928784
ar3_lagged_controls,AR(3): lagged controls,2024-05-01,3.8791211882056054,0.5709620926215361
ar3_lagged_controls,AR(3): lagged controls,2024-06-01,5.36757147662675,4.712434898503971
ar3_lagged_controls,AR(3): lagged controls,2024-07-01,7.574051254340932,8.518318973310203
ar3_lagged_controls,AR(3): lagged controls,2024-08-01,7.9140806032528905,8.651242784293988
ar3_lagged_controls,AR(3): lagged controls,2024-09-01,5.972713320126634,5.541476945781674
ar3_lagged_controls,AR(3): lagged controls,2024-10-01,5.302211450090627,5.295632102447636
ar3_lagged_controls,AR(3): lagged controls,2024-11-01,7.635332259812436,9.652342775414978
ar3_lagged_controls,AR(3): lagged controls,2024-12-01,3.636906631821443,2.4827309298006446
ar3_lagged_controls,AR(3): lagged controls,2025-01-01,4.591207807761959,5.130425966856063
ar3_lagged_controls,AR(3): lagged controls,2025-02-01,9.491405600314128,10.034886638855925
ar3_lagged_controls,AR(3): lagged controls,2025-03-01,2.5235998053662865,-0.9046781374980107
ar3_lagged_controls,AR(3): lagged controls,2025-04-01,5.474696048882451,4.504414097604206
ar3_lagged_controls,AR(3): lagged controls,2025-05-01,7.04908294275939,9.172381413652333
ar3_lagged_controls,AR(3): lagged controls,2025-06-01,4.009774646861485,1.3237319200664506
ar3_lagged_controls,AR(3): lagged controls,2025-07-01,7.684815223182655,9.335566196501075
ar3_lagged_controls,AR(3): lagged controls,2025-08-01,6.1269786607787955,6.179406018173472
ar3_lagged_controls,AR(3): lagged controls,2025-09-01,4.244189346920324,2.775526288718335
ar3_conditional_controls,AR(3): conditional controls,2023-10-01,2.090928449154557,1.334057002612474
ar3_conditional_controls,AR(3): conditional controls,2023-11-01,-0.7700460838898409,-2.9081060484859473
ar3_conditional_controls,AR(3): conditional controls,2023-12-01,1.0963737176172133,0.3884656609169053
ar3_conditional_controls,AR(3): conditional controls,2024-01-01,-2.574171294923003,-5.013743502852262
ar3_conditional_controls,AR(3): conditional controls,2024-02-01,-0.6500810812449734,-2.8916518099849093
ar3_conditional_controls,AR(3): conditional controls,2024-03-01,-3.190259138027795,-4.456898445314449
ar3_conditional_controls,AR(3): conditional controls,2024-04-01,1.6907566278185047,2.1815208088631928
ar3_conditional_controls,AR(3): conditional controls,2024-05-01,-2.770838971227845,-6.558287606482261
ar3_conditional_controls,AR(3): conditional controls,2024-06-01,-2.018154791937182,-4.887495076545927
ar3_conditional_controls,AR(3): conditional controls,2024-07-01,1.4640734434690978,1.3401935782316734
ar3_conditional_controls,AR(3): conditional controls,2024-08-01,0.8051820291322215,0.22704657031269887
ar3_conditional_controls,AR(3): conditional controls,2024-09-01,-1.063797002455418,-4.534228853320843
ar3_conditional_controls,AR(3): conditional controls,2024-10-01,-1.8113555853007146,-2.996954884410967
ar3_conditional_controls,AR(3): conditional controls,2024-11-01,0.5218238419555902,1.1508419811733948
ar3_conditional_controls,AR(3): conditional controls,2024-12-01,-3.8201482891325687,-7.6609957634837205
ar3_conditional_controls,AR(3): conditional controls,2025-01-01,-5.246701681314451,-4.423316292709907
ar3_conditional_controls,AR(3): conditional controls,2025-02-01,8.810809340962864,6.262956949931798
ar3_conditional_controls,AR(3): conditional controls,2025-03-01,-3.7396820901242327,-6.52869527357683
ar3_conditional_controls,AR(3): conditional controls,2025-04-01,-0.3334755963273333,-1.7202050906965425
ar3_conditional_controls,AR(3): conditional controls,2025-05-01,0.4028901832751501,1.39400243486821
ar3_conditional_controls,AR(3): conditional controls,2025-06-01,-2.4413300922756482,-5.485893095291702
ar3_conditional_controls,AR(3): conditional controls,2025-07-01,2.128576801512119,2.864225412077425
ar3_conditional_controls,AR(3): conditional controls,2025-08-01,-0.46286997213156883,-1.5388804853412388
ar3_conditional_controls,AR(3): conditional controls,2025-09-01,-2.551640684480556,-5.4908030787987805
